Cname,Curl
北京,http://travel.qunar.com/p-cs299914-beijing
上海,http://travel.qunar.com/p-cs299878-shanghai
重庆,http://travel.qunar.com/p-cs299979-chongqing
天津,http://travel.qunar.com/p-cs299957-tianjin
厦门,http://travel.qunar.com/p-cs299782-xiamen
福州,http://travel.qunar.com/p-cs299826-fuzhou
漳州,http://travel.qunar.com/p-cs299781-zhangzhou
泉州,http://travel.qunar.com/p-cs299779-quanzhou
龙岩,http://travel.qunar.com/p-cs299821-longyan
三明,http://travel.qunar.com/p-cs300015-sanming
南平,http://travel.qunar.com/p-cs300011-nanping
宁德,http://travel.qunar.com/p-cs299784-ningde
莆田,http://travel.qunar.com/p-cs299822-putian
杭州,http://travel.qunar.com/p-cs300195-hangzhou
宁波,http://travel.qunar.com/p-cs300194-ningbo
嘉兴,http://travel.qunar.com/p-cs300191-jiaxing
绍兴,http://travel.qunar.com/p-cs300181-shaoxing
温州,http://travel.qunar.com/p-cs300198-wenzhou
舟山,http://travel.qunar.com/p-cs300180-zhoushan
金华,http://travel.qunar.com/p-cs300183-jinhua
台州,http://travel.qunar.com/p-cs299818-taizhou
湖州,http://travel.qunar.com/p-cs300178-huzhou
丽水,http://travel.qunar.com/p-cs299813-lishui
衢州,http://travel.qunar.com/p-cs300184-quzhou
四明山,http://travel.qunar.com/p-cs1047472-simingshan
南京,http://travel.qunar.com/p-cs299861-nanjing
苏州,http://travel.qunar.com/p-cs299937-suzhou
扬州,http://travel.qunar.com/p-cs299941-yangzhou
无锡,http://travel.qunar.com/p-cs299940-wuxi
常州,http://travel.qunar.com/p-cs299935-changzhou
连云港,http://travel.qunar.com/p-cs299939-lianyungang
南通,http://travel.qunar.com/p-cs299933-nantong
徐州,http://travel.qunar.com/p-cs299936-xuzhou
镇江,http://travel.qunar.com/p-cs300016-zhenjiang
盐城,http://travel.qunar.com/p-cs299938-yancheng
淮安,http://travel.qunar.com/p-cs299942-huaian
泰州,http://travel.qunar.com/p-cs299944-taizhou
宿迁,http://travel.qunar.com/p-cs299934-suqian
太湖,http://travel.qunar.com/p-cs1003249-taihu
青岛,http://travel.qunar.com/p-cs299783-qingdao
